login,id,node_id,avatar_url,gravatar_id,url,html_url,followers_url,following_url,gists_url,starred_url,subscriptions_url,organizations_url,repos_url,events_url,received_events_url,type,site_admin,name,company,blog,location,email,hireable,bio,public_repos,public_gists,followers,following,created_at,updated_at
museumofappliedartsandsciences,1744686,MDQ6VXNlcjE3NDQ2ODY=,https://avatars3.githubusercontent.com/u/1744686?v=4,,https://api.github.com/users/museumofappliedartsandsciences,https://github.com/museumofappliedartsandsciences,https://api.github.com/users/museumofappliedartsandsciences/followers,https://api.github.com/users/museumofappliedartsandsciences/following{/other_user},https://api.github.com/users/museumofappliedartsandsciences/gists{/gist_id},https://api.github.com/users/museumofappliedartsandsciences/starred{/owner}{/repo},https://api.github.com/users/museumofappliedartsandsciences/subscriptions,https://api.github.com/users/museumofappliedartsandsciences/orgs,https://api.github.com/users/museumofappliedartsandsciences/repos,https://api.github.com/users/museumofappliedartsandsciences/events{/privacy},https://api.github.com/users/museumofappliedartsandsciences/received_events,User,false,,Museum of Applied Arts & Sciences,https://ma.as,"Ultimo, Sydney",,,,7,0,0,0,2012-05-16T06:51:23Z,2018-01-25T05:37:21Z
MuseumOfContemporaryArtAUSTRALIA,19919805,MDEyOk9yZ2FuaXphdGlvbjE5OTE5ODA1,https://avatars3.githubusercontent.com/u/19919805?v=4,,https://api.github.com/users/MuseumOfContemporaryArtAUSTRALIA,https://github.com/MuseumOfContemporaryArtAUSTRALIA,https://api.github.com/users/MuseumOfContemporaryArtAUSTRALIA/followers,https://api.github.com/users/MuseumOfContemporaryArtAUSTRALIA/following{/other_user},https://api.github.com/users/MuseumOfContemporaryArtAUSTRALIA/gists{/gist_id},https://api.github.com/users/MuseumOfContemporaryArtAUSTRALIA/starred{/owner}{/repo},https://api.github.com/users/MuseumOfContemporaryArtAUSTRALIA/subscriptions,https://api.github.com/users/MuseumOfContemporaryArtAUSTRALIA/orgs,https://api.github.com/users/MuseumOfContemporaryArtAUSTRALIA/repos,https://api.github.com/users/MuseumOfContemporaryArtAUSTRALIA/events{/privacy},https://api.github.com/users/MuseumOfContemporaryArtAUSTRALIA/received_events,Organization,false,Museum of Contemporary Art Australia,,,,,,,2,0,0,0,2016-06-14T01:49:31Z,2018-08-08T21:35:11Z
museumofoldandnewart,30920208,MDEyOk9yZ2FuaXphdGlvbjMwOTIwMjA4,https://avatars0.githubusercontent.com/u/30920208?v=4,,https://api.github.com/users/museumofoldandnewart,https://github.com/museumofoldandnewart,https://api.github.com/users/museumofoldandnewart/followers,https://api.github.com/users/museumofoldandnewart/following{/other_user},https://api.github.com/users/museumofoldandnewart/gists{/gist_id},https://api.github.com/users/museumofoldandnewart/starred{/owner}{/repo},https://api.github.com/users/museumofoldandnewart/subscriptions,https://api.github.com/users/museumofoldandnewart/orgs,https://api.github.com/users/museumofoldandnewart/repos,https://api.github.com/users/museumofoldandnewart/events{/privacy},https://api.github.com/users/museumofoldandnewart/received_events,Organization,false,Museum of Old and New Art,,https://mona.net.au,Tasmania,,,,1,0,0,0,2017-08-11T05:29:47Z,2018-08-31T20:18:45Z
museumsvictoria,2839634,MDEyOk9yZ2FuaXphdGlvbjI4Mzk2MzQ=,https://avatars0.githubusercontent.com/u/2839634?v=4,,https://api.github.com/users/museumsvictoria,https://github.com/museumsvictoria,https://api.github.com/users/museumsvictoria/followers,https://api.github.com/users/museumsvictoria/following{/other_user},https://api.github.com/users/museumsvictoria/gists{/gist_id},https://api.github.com/users/museumsvictoria/starred{/owner}{/repo},https://api.github.com/users/museumsvictoria/subscriptions,https://api.github.com/users/museumsvictoria/orgs,https://api.github.com/users/museumsvictoria/repos,https://api.github.com/users/museumsvictoria/events{/privacy},https://api.github.com/users/museumsvictoria/received_events,Organization,false,Museums Victoria,,http://museumsvictoria.com.au/,"Melbourne, Australia",,,,22,0,0,0,2012-11-20T01:45:53Z,2018-02-13T00:03:19Z
nationalgalleryofaustralia,38123744,MDEyOk9yZ2FuaXphdGlvbjM4MTIzNzQ0,https://avatars2.githubusercontent.com/u/38123744?v=4,,https://api.github.com/users/nationalgalleryofaustralia,https://github.com/nationalgalleryofaustralia,https://api.github.com/users/nationalgalleryofaustralia/followers,https://api.github.com/users/nationalgalleryofaustralia/following{/other_user},https://api.github.com/users/nationalgalleryofaustralia/gists{/gist_id},https://api.github.com/users/nationalgalleryofaustralia/starred{/owner}{/repo},https://api.github.com/users/nationalgalleryofaustralia/subscriptions,https://api.github.com/users/nationalgalleryofaustralia/orgs,https://api.github.com/users/nationalgalleryofaustralia/repos,https://api.github.com/users/nationalgalleryofaustralia/events{/privacy},https://api.github.com/users/nationalgalleryofaustralia/received_events,Organization,false,National Gallery of Australia,,https://nga.gov.au,"Canberra, ACT, Australia",,,,0,0,0,0,2018-04-06T05:23:31Z,2018-08-09T23:03:25Z
ngv,143424,MDQ6VXNlcjE0MzQyNA==,https://avatars2.githubusercontent.com/u/143424?v=4,,https://api.github.com/users/ngv,https://github.com/ngv,https://api.github.com/users/ngv/followers,https://api.github.com/users/ngv/following{/other_user},https://api.github.com/users/ngv/gists{/gist_id},https://api.github.com/users/ngv/starred{/owner}{/repo},https://api.github.com/users/ngv/subscriptions,https://api.github.com/users/ngv/orgs,https://api.github.com/users/ngv/repos,https://api.github.com/users/ngv/events{/privacy},https://api.github.com/users/ngv/received_events,User,false,National Gallery of Victoria,National Gallery of Victoria,www.ngv.vic.gov.au,"Melbourne, Australia",,,,9,0,4,0,2009-10-22T23:10:34Z,2017-05-04T02:32:50Z
NationalMuseumAustralia,30451983,MDEyOk9yZ2FuaXphdGlvbjMwNDUxOTgz,https://avatars1.githubusercontent.com/u/30451983?v=4,,https://api.github.com/users/NationalMuseumAustralia,https://github.com/NationalMuseumAustralia,https://api.github.com/users/NationalMuseumAustralia/followers,https://api.github.com/users/NationalMuseumAustralia/following{/other_user},https://api.github.com/users/NationalMuseumAustralia/gists{/gist_id},https://api.github.com/users/NationalMuseumAustralia/starred{/owner}{/repo},https://api.github.com/users/NationalMuseumAustralia/subscriptions,https://api.github.com/users/NationalMuseumAustralia/orgs,https://api.github.com/users/NationalMuseumAustralia/repos,https://api.github.com/users/NationalMuseumAustralia/events{/privacy},https://api.github.com/users/NationalMuseumAustralia/received_events,Organization,false,National Museum of Australia,,http://www.nma.gov.au,"Canberra, Australia",,,,2,0,0,0,2017-07-26T01:15:14Z,2018-04-23T06:25:49Z
rbgvictoria,13380401,MDEyOk9yZ2FuaXphdGlvbjEzMzgwNDAx,https://avatars2.githubusercontent.com/u/13380401?v=4,,https://api.github.com/users/rbgvictoria,https://github.com/rbgvictoria,https://api.github.com/users/rbgvictoria/followers,https://api.github.com/users/rbgvictoria/following{/other_user},https://api.github.com/users/rbgvictoria/gists{/gist_id},https://api.github.com/users/rbgvictoria/starred{/owner}{/repo},https://api.github.com/users/rbgvictoria/subscriptions,https://api.github.com/users/rbgvictoria/orgs,https://api.github.com/users/rbgvictoria/repos,https://api.github.com/users/rbgvictoria/events{/privacy},https://api.github.com/users/rbgvictoria/received_events,Organization,false,Royal Botanic Gardens Victoria,,http://www.rbg.vic.gov.au,,,,,14,0,0,0,2015-07-17T11:45:38Z,2016-03-19T03:14:09Z
wamuseum,6541276,MDEyOk9yZ2FuaXphdGlvbjY1NDEyNzY=,https://avatars3.githubusercontent.com/u/6541276?v=4,,https://api.github.com/users/wamuseum,https://github.com/wamuseum,https://api.github.com/users/wamuseum/followers,https://api.github.com/users/wamuseum/following{/other_user},https://api.github.com/users/wamuseum/gists{/gist_id},https://api.github.com/users/wamuseum/starred{/owner}{/repo},https://api.github.com/users/wamuseum/subscriptions,https://api.github.com/users/wamuseum/orgs,https://api.github.com/users/wamuseum/repos,https://api.github.com/users/wamuseum/events{/privacy},https://api.github.com/users/wamuseum/received_events,Organization,false,Western Australian Museum,,museum.wa.gov.au,Western Australia,,,,4,0,0,0,2014-01-30T04:00:33Z,2018-08-01T22:22:13Z
uamz-vertnet,12283404,MDEyOk9yZ2FuaXphdGlvbjEyMjgzNDA0,https://avatars3.githubusercontent.com/u/12283404?v=4,,https://api.github.com/users/uamz-vertnet,https://github.com/uamz-vertnet,https://api.github.com/users/uamz-vertnet/followers,https://api.github.com/users/uamz-vertnet/following{/other_user},https://api.github.com/users/uamz-vertnet/gists{/gist_id},https://api.github.com/users/uamz-vertnet/starred{/owner}{/repo},https://api.github.com/users/uamz-vertnet/subscriptions,https://api.github.com/users/uamz-vertnet/orgs,https://api.github.com/users/uamz-vertnet/repos,https://api.github.com/users/uamz-vertnet/events{/privacy},https://api.github.com/users/uamz-vertnet/received_events,Organization,false,University of Alberta Museum of Zoology (UAMZ),,http://www.biology.museums.ualberta.ca/MuseumOfZoology.aspx,"Edmonton, Alberta, Canada",museums@ualberta.ca,,,4,0,0,0,2015-05-06T22:41:25Z,2015-05-08T16:07:16Z
